epoch,train_loss,train_err,test_err
0,0.3311915695667267,0.17888333333333334,0.1846
1,0.2434685379266739,0.183,0.1596
2,0.16804160177707672,0.12786666666666666,0.1424
3,0.32320815324783325,0.09821666666666666,0.1066
4,0.20532242953777313,0.09335,0.1081
5,0.2285163551568985,0.09251666666666666,0.1168
6,0.18607616424560547,0.08918333333333334,0.1085
7,0.16992604732513428,0.09001666666666666,0.1025
8,0.10416219383478165,0.07746666666666667,0.0897
9,0.1314154416322708,0.07968333333333333,0.0883
10,0.20671838521957397,0.08593333333333333,0.0994
11,0.2802414000034332,0.06983333333333333,0.0815
12,0.1395971029996872,0.08346666666666666,0.0976
13,0.28511402010917664,0.06488333333333333,0.0827
14,0.20425157248973846,0.06558333333333333,0.0772
15,0.17051060497760773,0.07708333333333334,0.0884
16,0.058608829975128174,0.06415,0.08
17,0.1746654063463211,0.06386666666666667,0.0743
18,0.25710535049438477,0.08193333333333333,0.085
19,0.2710256576538086,0.05603333333333333,0.0787
