epoch,train_loss,train_err,test_err
0,1.945578932762146,0.75244,0.7442
1,1.4915962219238281,0.54944,0.54
2,1.3469253778457642,0.43464,0.4288
3,0.7787753343582153,0.34612,0.3436
4,0.6882048845291138,0.34316,0.3384
5,0.6739909648895264,0.308,0.302
6,0.604636013507843,0.25812,0.2697
7,0.5544284582138062,0.24276,0.2488
8,0.5597708225250244,0.24628,0.2693
9,0.5982316732406616,0.24476,0.2611
10,0.7522207498550415,0.22516,0.2451
11,0.3381536304950714,0.18336,0.2066
12,0.5845340490341187,0.18346,0.2018
13,0.3724645972251892,0.20276,0.2261
14,0.7039943933486938,0.21788,0.2369
15,0.352036714553833,0.176,0.1948
16,0.43855810165405273,0.22646,0.2574
17,0.35100463032722473,0.15832,0.1859
18,0.43812984228134155,0.1394,0.1662
19,0.4109824299812317,0.17242,0.1985
