epoch,train_loss,train_err,test_err
0,0.4341384470462799,0.15446666666666667,0.1674
1,0.2707507312297821,0.13835,0.1509
2,0.2132856845855713,0.16166666666666665,0.1501
3,0.22028876841068268,0.11573333333333333,0.1208
4,0.23247241973876953,0.08205,0.0986
5,0.3160528838634491,0.09206666666666667,0.0955
6,0.10798081010580063,0.08078333333333333,0.0874
7,0.19213567674160004,0.07305,0.0822
8,0.22986048460006714,0.12175,0.1217
9,0.10940773040056229,0.10053333333333334,0.1092
10,0.21572108566761017,0.08556666666666667,0.086
11,0.1957988291978836,0.08796666666666667,0.0891
12,0.12065067142248154,0.073,0.0772
13,0.10019165277481079,0.06716666666666667,0.074
14,0.215626060962677,0.08628333333333334,0.1008
15,0.19903452694416046,0.06955,0.085
16,0.09420722723007202,0.07093333333333333,0.0798
17,0.2559514343738556,0.06818333333333333,0.0859
18,0.24979102611541748,0.09436666666666667,0.0909
19,0.20839263498783112,0.07795,0.0892
